SKU,Marca,Nombre,Stock,"Precio Unitarioc/Iva"
ARM-Fuente,,,,
99923981,PCF OEM,Fuente Poder 600w Generica,1,4.990
Accesorios Celulares,,,,
99937371,Apple,"Carcasa funda de silicona para iPhone 11 Pro - Color arenarosa",1,9.989
99937369,Apple,Carcasa funda transparente para  iPhone 11 Pro,1,9.989
99927537,PCF OEM,Kit Selfie Stick 5 en 1 Bluetooth SmartFy,6,3.989
99937370,Apple,iPhone 11 Pro Silicone Case - White,1,9.989
Accesorios Electrónica,,,,
99927701,Adafruit,Bases de pines para Feather - 12-pin y 16-pin,1,490
99930482,PCF OEM,Conector HDMI - Ángulo recto,1,2.490
99930198,Raspberry Pi,"Fuente de Alimentación Raspberry Pi 2,5A 13W Element 14Oficial",7,3.990
Accesorios Impresoras 3D,,,,
99937907,Creality,"Boquilla de impresora 3D de 0.4mm para CR-10S Pro, CR-10Max (4 unidades)",1,1.990
99935801,Creality,"Superficie de impresión magnética para impresora CR-10SPro",4,4.990
Accesorios Notebooks,,,,
99936349,Apple,Adaptador Lightning a USB,1,19.990
99937682,Apple,Adaptador Lightning a lector de tarjetas SD,1,14.989
99919985,Apple,Adaptador Thunderbolt a Gigabit Ethernet para Mac,1,14.989
99937460,Apple,Adaptador de Thunderbolt 3 (USB-C) a Thunderbolt 2,3,19.990
99937461,Apple,Adaptador de Thunderbolt a Gigabit Ethernet,5,14.989
99937679,Apple,Adaptador de USB-C a USB,1,9.989
99937681,Apple,Adaptador de conector Lightning a USB para cámara,5,9.989
99937464,Apple,"Cargador MagSafe 2 de 60 W (para MacBook Pro conpantalla Retina de 13"")",4,29.988
99937465,Apple,"Cargador MagSafe 2 de 85 W (para MacBook Pro conpantalla Retina de 15"")",1,39.990
99922211,Apple,Cargador original Magsafe 2 60W para MacBook Pro Retina,2,29.988
Accesorios Tablas Digitalizadoras,,,,
99929683,Wacom,Cable 3 en 1 para Cintiq 13HD y Companion STJA328,3,6.990
99929685,Wacom,Cable USB 1m para Intuos y Bamboo STJA307,4,4.990
99933397,Livescribe,Livescribe 2GB Echo Smartpen,1,24.990
99928566,Wacom,"Lápiz para Intuos Art, Comic, Draw LP190K",4,9.990
99928573,Wacom,Stand McAllan para MobileStudio Pro 13 & 16 ACK627K,1,25.990
Accesorios Tablets,,,,
99921886,Apple,Apple Pencil,4,49.990
99948109,Apple,Apple Pencil (1a Generación),1,119.990
99937334,Apple,Apple Pencil (1a generación),26,69.972
SKU,Marca,Nombre,Stock,"Precio Unitarioc/Iva"
99937321,Apple,Apple Pencil (2a generación),1,69.972
99940112,Zagg,Lápiz Pro Stylus iPad Negro,1,24.990
Accesorios de Drones,,,,
99917396,DJI,Phantom 2 - GPS,1,45.967
99919945,Syma,X5C Quadricoptero - Protección Hélice,42,389
Accesorios de Impresoras,,,,
99927700,Brother,Bandeja inferior de 500 hojas LT-320,1,49.990
99925742,Epson,Bateria Externa Picturemate PM-525,2,24.990
99931639,Brother,Unidad de Transferencia  BU-223CL,1,49.990
Access Point,,,,
9995919,Air802,Access Point / Router AP-G250 250mW,8,14.990
9996950,Advantek,Access Point / Router AWR-1054GR/E,2,9.990
99910799,TPLink,Access Point 2.4 GHz Exterior G54 TL-WA5210G,2,16.990
9992021,DLink,Access Point 2.4 GHz N300 DAP-1360,24,4.990
99913273,DLink,Access Point 2.4 GHz PoE AirPlus DAP-2360,2,42.990
99910414,Tenda,Access Point 300Mbps Slim W301A,1,11.990
99914149,Linksys,Access Point Dual-Band N300 WAP300N,8,20.990
99910725,TPLink,Access Point PoE 2.4 GHz N150 TL-WA701ND,15,6.990
99910797,TPLink,Access Point PoE 2.4 GHz N300 TL-WA901ND,10,13.990
9994007,Linksys,Access Point WAP54G,2,12.990
99913055,Linksys,Bridge Inalambrico WUMC710,3,45.990
Actuadores,,,,
99927582,Adafruit,Matriz LED 16x24 Roja concatenable con driver HT1632C,1,7.990
99927724,Luckylight,Matriz LED RGB 8x8 miniatura,1,1.490
Adaptadores Bluetooth,,,,
99923463,Spektra,"Adaptador Bluetooth para Audio - transmisor y receptor deaudio",5,9.990
Adaptadores PC,,,,
99922983,Spektra,Adaptador Micro HDMI a VGA,1,3.990
99921836,PCF OEM,Adaptador Micro HDMI a VGA con Sonido,1,2.990
99922974,Spektra,Adaptador Mini DisplayPort a VGA,5,1.990
99922971,Spektra,Adaptador Mini HDMI a VGA,7,990
99936124,Kensington,Adaptador USB-C a USB-A,1,4.990
99924763,PCF OEM,Adaptador VGA-macho a HDMI-hembra,2,2.990
9996201,PCF OEM,Cable Adaptador USB a Puerto Paralelo,4,990
9998944,Spektra,Cable Adaptador USB a Puerto Paralelo,1,3.990
99932317,Tripp Lite,"Extensor HDMI Inalámbrico con IR, 50 metros",1,119.990
Adaptadores Portátiles,,,,
SKU,Marca,Nombre,Stock,"Precio Unitarioc/Iva"
99914848,Microlab,"Adaptador SD/MMC/TF micro SD /T2/MM Duo para GalaxyTab",2,990
99913152,Microlab,"Cable cargador y sincronizador USB para iPad 2, iPhone,iPod",1,1.990
Alarmas,,,,
99916063,Opexia,Control Remoto de Alarma,1,1.990
99918750,Opexia,Kit Alarma inalámbrica GSM compatible con Smartphone,13,34.990
99927614,Drakon,Kit Casa Segura,4,39.990
99927611,Drakon,"Kit de seguridad (1x central alarma, 2x cámaras, 10xsensores, 2x controles remoto, 2x sirenas)",1,119.990
99935201,Drakon,Kit seguridad Alarma + Sirena + Sensores,2,39.990
99927487,Gear,Sensor de Movimiento GR-M101,1,2.990
All-in-One,,,,
99941516,Asus,"All In One Vivo V222 21.5"" FullHD Intel Pentium Gold 6405U4GB 1TB + 128GB SSD Windows 10 V222FAK-BA298T",1,377.230
99943513,HP,"All in One 22"" FullHD Intel Pentium J5040 8GB 256GB SSDWindows 11 22-dd0533la",1,392.700
99939249,HP,"All in One 23,8"" FullHD Intel Core i3-1115G4 4GB 1TBWindows 10 24-df1000la",1,401.030
99948043,Gear,"All in One A2769 27"" FullHD Intel Celeron N4000 4GB 240GBSSD",1,239.990
99947487,Lenovo,"LIQ - All In One IdeaCentre A340 23.8"" FullHD Intel CeleronJ4025 4GB 1TB Windows 10",2,251.227
99948089,HP,"LIQ - All in One 21.5"" FullHD AMD Ryzen 3 3250U 8GB256GB SSD Windows 11 22-dd0536la",1,317.051
99948091,HP,"LIQ - All in One 21.5"" FullHD Intel Pentium J5040 4GB256SSD Windows 11 22-dd2009la",1,264.194
99946781,HP,"LIQ - All in One 23,8"" FullHD Intel Core i3-1115G4 4GB 1TBWindows 11 24-df1000la",1,279.304
99947624,Lenovo,"LIQ - All in One IdeaCentre 3 23.8"" FullHD AMD Athlon 3050U8GB 512GB SSD Windows 11",1,249.989
99945945,Lenovo,"LIQ - All in One IdeaCentre A340 24"" FullHD   i3-10110U 4GB1TB  Windows 11",2,275.919
45945,Lenovo,"LIQ - All in One IdeaCentre A340 24"" FullHD   i3-10110U 4GB1TB  Windows 11",1,414.061
99947871,Lenovo,"LIQ - All in One Ideacentre A340 23.8"" FullHD Intel PentiumJ5005 4GB 1TB Windows 11",4,256.927
46573,Dell,"LIQ - All in One Inspiron 5400 23.8"" Full HD Intel i7-1165G716GB 1TB+256GB SSD  Windows 10",1,839.605
99948880,Asus,"LIQ - All in One Vivo AiO V241 23.8"" FullHD Intel i5-1135G716GB 512GB SSD Windows 11 V241EAK-BA273W",1,440.076
99945395,Asus,"LIQ - All in One Zen AiO 24 A5401 23.8"" FullHD Intel Core i7-10700T 8GB 1TB + 256GB SSD MX330 2GB Windows 10A5401WRPK-BA006T",1,758.836
SKU,Marca,Nombre,Stock,"Precio Unitarioc/Iva"
Antenas,,,,
99936476,YXWireless,Antena Repetidora de Señal de Celular 2G/ 3G Reply,1,59.976
99928650,YXWireless,Antena Repetidora de Señal de Celular 3G Reply,2,39.984
99925424,YXWireless,Antena Repetidora de señal Celular 3G Reply,4,39.984
99918627,YXWireless,Antena Reply de señal Celular 3G,7,39.984
99942687,Sanny Telecom,Antena Rubber Duck STRD24G9,1,5.950
Antenas TV Digital,,,,
99923539,RCA,Antena TV ANT 121,2,9.989
Artículos de Escritorio,,,,
99932490,Deepcool,Base para Monitor Standar 55x26cm,1,9.989
Asistentes de Voz,,,,
99932214,Echo,"Asistente de voz en Español Echo Dot Charcoal (3raGeneración)",1,24.990
99947611,Echo,"Asistente de voz en Español Echo Dot Charcoal (5taGeneración)",1,69.990
99947612,Echo,"Asistente de voz en Español Echo Dot Glacier White (5taGeneración)",2,69.990
Aspiradoras Robot & Limpieza,,,,
99941321,iRobot,"Aspiradora Robot Roomba S9+ compatible con Alexa yGoogle assistant",1,599.990
Audio All in One,,,,
99930246,Sony,Minicomponente MHC-V41D,1,119.989
99938509,Master G,"Parlante Karaoke SPB8B BT 8""",2,28.560
99928263,Master G,Parlante Karaoke SPBT12,3,58.667
99928262,Master G,Parlante Karaoke SPBT8,3,42.007
Audífonos Call-Center,,,,
99925199,Spektra,Audifono Headset Negro c/mic,5,1.490
99925198,Spektra,Audifono Headset PC Blanco c/mic,14,1.490
9995447,Genius,Audifonos HS-04S,1,1.990
9993608,Genius,Audifonos HS-05A,2,4.990
99939452,Kensington,Audífonos Kensington Stereo USB K97601WW,1,8.990
Audífonos Gamer,,,,
99938017,Turtle Beach,Audífono Gamer Stealth 300 Negro/Azul,2,58.310
99932457,Gear Gamer,Audífono Gamer Viggo,1,4.990
Audífonos Headset,,,,
99931242,Panasonic,Audifono RP-HF100 Azul,1,5.950
99938131,Motorola,Audífono Bluetooth Escape 220 Negro,1,10.990
99936824,Skullcandy,Audífono Bluetooth RIFF Negro,3,47.600
99928241,Sony,Audífono MDR-ZX110 Negro,1,5.950
99923382,Sony,Audífono MDR-ZX110AP Negro,2,9.520
SKU,Marca,Nombre,Stock,"Precio Unitarioc/Iva"
99935320,Altec Lansing,Audífono R3volution X Headphones Negro,2,21.420
99933939,JBL,Audífono T500 Negro,1,14.989
Audífonos In Ear,,,,
99937437,Apple,AirPods (2a generación),23,69.972
99937435,Apple,AirPods Pro,1,99.990
99933585,Apple,Audifonos Apple Airpods 2a generación,9,69.990
99946239,JBL,Audifonos In-ear JBL W100 TWS Negro,1,69.990
99947886,Blik,Audífono Bluetooth Air600,2,24.990
99940863,Sennheiser,Audífono Bluetooth CX400 TWS,1,97.580
99939138,Huawei,Audífono Bluetooth FreeBuds PRO TWS Blanco,1,89.989
99942990,Huawei,Audífono Bluetooth FreeBuds PRO TWS Silver,2,119.000
99934273,Sony,Audífono Bluetooth In Ear 1000XM3 TWS,3,107.100
99936829,Skullcandy,Audífono Bluetooth JIB+ Negro,5,14.280
99942051,Skullcandy,Audífono Bluetooth Sesh Evo Negro TWS,2,53.550
99948214,Skullcandy,Audífono Bluetooth Sesh Evo TWS Bleach Blue,1,44.990
99931621,Altec Lansing,Audífono Bluetooth Sport BT/WP,2,9.989
99938316,Sony,Audífono Bluetooth XB700 TWS Negro,7,95.200
99926479,Panasonic,Audífono Deportivo Bluetooth RP-BTS10 Negro,1,14.280
99943389,Samsung,Audífono EO-IA500 Negro,2,4.990
99917523,Apple,Audífono EarPods con Micrófono para iPhone/iPod,2,9.989
99932623,Panasonic,Audífono In Ear TCM-55 Negro,4,3.570
99940472,Skullcandy,Audífono In ear TWS Indy Evo Negro,7,71.400
99939712,Skullcandy,Audífono In ear TWS JIB True Negro,12,35.700
99921855,Sony,Audífono MDR-E9LP Negro,3,3.570
99933661,Bose,Audífono SoundSport IE Android,1,59.989
99934823,Sony,Audífono WI-C310 Negro,2,17.850
99936434,Huawei,Audífono in ear CM33 conector USB tipo C,1,5.950
99937438,Apple,Audífonos EarPods conector 3.5mm,15,9.989
99937440,Apple,Audífonos EarPods conector lightning,46,9.989
99943115,Samsung,Audífonos In Ear TWS Galaxy Buds2 Negros,2,83.300
99945743,Skullcandy,Audífonos In ear WTS Dime Negro,4,23.800
99948256,Beats,Audífonos In-Ear Beats Flex - Azul Flama,1,49.990
Banda Ancha Móvil,,,,
99925669,Huawei,BAM Huawei E8372 (4G + Wifi) Entel,6,19.990
99937500,ZTE,Mifi ZTE MF920U Prepago WOM,1,19.990
99941077,ZTE,Mifi ZTE MF920u1 4G Prepago WOM,9,36.890
99923982,Huawei,Router Huawei B310 WOM,1,78.539
99934010,Huawei,Router Huawei B311 WOM,1,67.830
Barras de Sonido,,,,
SKU,Marca,Nombre,Stock,"Precio Unitarioc/Iva"
99947368,22N,LIQ - Barra de Sonido Zenet 60W RMS,2,26.137
99930115,JBL,Soundbar Bluetooth Bar 2.0,2,89.989
Bases Notebooks,,,,
99945114,Wooderline,"Base Notebook 17"" Ergonómica + Soporte Celular Madera",1,9.989
Baterías de Repuesto,,,,
99924365,Samsung,Bateria de Repuesto para J1,3,6.716
Bolsos Cámaras,,,,
99916672,Case Logic,Bolso Cámara de Acción Luminosity,1,4.990
Bolsos Tablets,,,,
99925164,Leaf,Funda Kindle Paperwhite 2015,9,990
99925161,Leaf,Funda Kindle Touch 2016,18,990
CPU AMD sAM4,,,,
99948912,AMD,LIQ - CPU Ryzen 9 5950X (AM4),1,476.000
CPU Intel s1200,,,,
99940729,Intel,CPU Intel Core i5-11600K 3.9GHz 12MB (s1200),1,169.989
99938162,Intel,CPU Intel Core i7-10700F 2.9GHz 16MB (s1200),1,179.990
CPU Intel s2066,,,,
99926323,Intel,CPU Intel Core i7-7800X 3.5 GHz LGA 2066,1,111.990
99926322,Intel,CPU Intel Core i7-7820X 3.6 GHz LGA 2066,1,139.990
Cables,,,,
99944840,Philips,Cable  USB-C 1.2 MTS Negro,1,5.989
99939929,Spektra,Cable Lightning a tipo C Fast Charging 1m,2,5.355
99943323,Spektra,Cable USB 4.0 Spektra,1,5.989
99917598,Apple,Para iPhone 4/4S/ipad 30 Pin Cable,1,989
Cables Adaptadores Audio,,,,
99937739,Spektra,Cable USB C a salida Jack 3.5mm 1.2m,1,4.192
99923280,Spektra,Cable Óptico de Audio Digital - 3mts,1,1.690
99923281,Spektra,Cable Óptico de Audio Digital mini 3.5mm - 3mts,1,2.490
Cables Adaptadores Video,,,,
9992004,Sapphire,Adaptador Activo Mini DisplayPort a DVI (EyeFinity),1,7.990
99937660,Spektra,Adaptador HDMI Hembra a HDMI Macho 90°,1,1.990
9991280,Spektra,Adaptador de DVI-I macho a VGA hembra,43,490
99920442,PCF OEM,Cable  HDMI /  DVI  3.0m,3,3.570
99935215,One For All,Cable Componente A/v Compuesto,1,990
9998955,Spektra,Cable Extensión para Monitor VGA m/h 15 pins  3.0m,10,990
99937664,Spektra,Cable HDMI a USB C 2m,1,2.990
9998952,Spektra,Cable Video DVI-I macho / VGA macho 1.8m,3,990
9991274,Spektra,Cable Video HDMI macho / DVI-D macho 1.8m,1,990
99934805,Spektra,Cables HDMI 1.4 de 1.8 metros,1,1.990
SKU,Marca,Nombre,Stock,"Precio Unitarioc/Iva"
Cables Coaxiales,,,,
99926315,Spektra,Cable Coaxial 5M RP-SMA Macho a Macho,3,2.990
99926318,PCF OEM,Cable Coaxial de 1M Hembra RP-SMA a Macho Tipo N,1,490
Cables Datos / USB,,,,
99944569,Satechi,Adaptador USB-C a USB,3,4.990
99934148,Spektra,Cable SATA (Serial-Ata) Datos (8P) 180°,1,490
Cables Desktop,,,,
99930178,Silverstone,Cable 8 pin a  EPS12V 4+4 pin,1,990
99930167,Silverstone,Pack de cables PSU,1,7.990
Cables Poder,,,,
99919868,Tripp Lite,Adaptador de Salida C13 a Universal,1,2.990
99919152,PCF OEM,Cable de Poder y Spliter Molex a SATA 17 cm,1,1.490
Cables de Red,,,,
99915076,Exelink,Cable Telefónico + Conectores RJ11 - 2.1mts,3,490
99931951,Spektra,"Cable patch cord UTP CAT5E + Conectores RJ45 7m - 100%Cobre",1,2.990
Cables y Adaptadores,,,,
99913758,Apple,Adaptador 30 Pines a VGA MC552ZM/B,1,6.180
99936334,Apple,Adaptador HDMI a DVI,1,9.989
99920677,Apple,Adaptador Lightning a  USB,6,9.989
99919993,Apple,Adaptador Lightning a Micro USB,11,9.989
99913512,Apple,Adaptador Mini DisplayPort a DVI-D para Macbook,1,9.989
99937457,Apple,Adaptador de Lightning a entrada de 3.5 mm para audífonos,1,4.990
99937456,Apple,Adaptador de USB-C a entrada de 3.5 mm para audífonos,1,4.990
99919669,Apple,Adaptador de Video VGA a USB-C,1,19.990
99937678,Apple,Adaptador multipuerto de USB-C a VGA,1,19.990
99919984,Apple,Apple Mini Display Port to VGA Adapter,3,9.989
99937095,Apple,Cable Lightning a USB APPLE Blanco 2M,1,9.989
99937484,Apple,Cable de carga USB-C (2 m),2,9.989
Candados y Seguridad,,,,
99936087,Kensington,Cable  ClickSafe 2.0 con Kit  Dell®,8,4.990
99932677,Targus,"Candado Notebook 3 en 1 Cabezales Intercambiables Tbar-Nano-Noble",1,9.990
99914049,Kensington,"Candado Notebook Clicksafe con llave 1,5 mts",2,4.990
99924156,Targus,"Candado Notebook Defcon con clave 1,98 mts",2,4.990
99924157,Targus,"Candado Notebook Eco con clave 1,5 mts",7,4.990
9994655,Kensington,Candado Notebook MicroSaver con llave 1.8 mts,7,4.990
99932886,Kensington,"Candado Notebook MicroSaver® 2.0 con llave 1,8mts",1,4.990
99922128,Kensington,"Candado Notebook MiniSaver para Ultrabook con llave 1,8mts",10,4.990
SKU,Marca,Nombre,Stock,"Precio Unitarioc/Iva"
Capturadoras de Video,,,,
99937942,Gear Gamer,Capturadora Gamer Leeroy 1080P HD,2,36.295
Carcasas,,,,
99923913,Samsung,Carcasa J7 2016 Flip Wallet - Negro,1,4.990
99927443,GSM,Carcasa Moto G4 Negra,1,490
99927448,GSM,Carcasa Samsung J5 Prime Negra,1,490
27453,GSM,Carcasa Samsung J7 Prime Fucsia,2,490
27452,GSM,Carcasa Samsung J7 Prime Negra,1,490
33729,MobileHUT,Carcasa Y9 2019 Negra,1,2.990
18054,Samsung,Para Galaxy Grand 2 Duos carcasa flip wallet negra,1,490
Cargadores Notebooks,,,,
99946519,Spektra,"Cargador alternativo para Notebook Acer, 65W, 19V, 3.42A,conector 5.5mm*1.7mm c/cable de poder",1,12.990
99946522,Spektra,"Cargador alternativo para Notebook Dell, 45W, 19.5V, 2.31A,conector 4.5mm*3.0mm C/Cable de Poder",1,14.990
Cargadores para automóvil,,,,
99918047,Samsung,Cargador de Auto con Cable Micro USB Samsung Negro,1,4.990
99916833,Cygnett,Cargador de Auto con cable 30 Pin 1M Cygnett Negro,1,2.990
Cargadores para casa,,,,
99916842,PCF OEM,"Cargador (Adaptador) USB para Auto y Casa con CableRetractil 30 pin para iPhone 4/4S",5,2.990
99928967,Apple,"Cargador (Adaptador) de casa  Apple 5W para iphone/iPadsin cable SEC",6,4.990
99926764,Apple,Cargador (Adaptador) de casa 5W para iphone/iPad Sin cable,1,4.990
99917878,Apple,Cargador (Adaptador) de casa 5W para iphone/iPad Sin cable,1,4.990
99937363,Apple,Cargador (Adaptador) de casa 5W para iphone/iPad Sin cable,1,4.990
99939003,Apple,Cargador (Adaptador) de casa 5W para iphone/iPad Sin cable,3,4.990
99917589,Belkin,Cargador (Adaptador) de casa 5W sin cable Negro,1,2.490
99916871,Spektra,Cargador (Adaptador) de pared universal Sin cable,1,2.490
99947823,Gyrux,Cargador Pared USB-C 20W,1,14.990
99944879,Samsung,Samsung Cargador Inalámbrico para Auto,3,24.990
Cartuchos de Tinta y Botellas para Impresoras,,,,
99936872,Canon,Botella de Tinta Original Canon GI-10 Cyan,1,8.330
99938646,Epson,Botella de Tinta Original Epson T524320-AL Magenta,2,9.990
99917308,Epson,Botella de Tinta Original Epson T774120-AL Negro,3,6.990
99917101,Brother,Cartucho de Tinta Original Brother  LC505 Cyan,2,2.990
99917102,Brother,Cartucho de Tinta Original Brother  LC505 Magenta,1,2.990
99917100,Brother,Cartucho de Tinta Original Brother  LC509 Negro,2,3.990
99912446,Brother,Cartucho de Tinta Original Brother  LC60 Amarillo,1,2.990
9993791,Brother,Cartucho de Tinta Original Brother  LC75 Magenta,1,4.990
SKU,Marca,Nombre,Stock,"Precio Unitarioc/Iva"
99921102,Canon,Cartucho de Tinta Original Canon PG-44 Negro,1,3.990
999437,Epson,Cartucho de Tinta Original Epson T073120-AL Negro,1,3.990
999941,Epson,Cartucho de Tinta Original Epson T073420-AL Amarillo,1,3.990
99921517,Epson,Cartucho de Tinta Original Epson T296120-AL Negro,1,3.990
99914233,Epson,"Cartucho de Tinta Original Epson T58464 colores + Papelfotográfico",1,1.990
99921091,HP,Cartucho de Tinta Original HP 664 Negro,1,4.990
99921755,Canon,Cassette Papeles+Tintas Selphy KP-108,1,10.990
Cintas (Rotuladoras),,,,
99923136,Brother,"Cinta blanca-Texto negro  DK-1209 62mm / 29mm 800etiquetas (Ancho / Largo)",2,9.989
99927246,Brother,Cinta blanca-Texto negro M-231 12mm / 8mm (Ancho / Largo),3,4.192
Combo Radios + Parlantes para Automóvil,,,,
99927071,Philips,"Combo Radio para Automóvil Philips CE233/55 + ParlantePhilips CSP6911",1,49.990
99924902,Pioneer,"Combo Radio para Automóvil Pioneer 1950UB + Parlante16cms + Parlante 6x9 Pioneer",1,92.990
Combos Teclado / Mouse,,,,
99947570,Trust,Combo Gaming 4-in-1 Trust Ziva Bundle,2,34.990
99947620,HP,Combo HP Teclado + Mouse 230 Wireless Black,1,31.990
99947621,HP,Combo HP Teclado y Mouse 650 Wireless Black,1,64.990
